"Kod";"Nazwa";"studenci ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";124955;
0400000;"KUJAWSKO-POMORSKIE";56677;
0600000;"LUBELSKIE";67187;
0800000;"LUBUSKIE";12347;
1000000;"ŁÓDZKIE";68841;
1200000;"MAŁOPOLSKIE";156687;
1400000;"MAZOWIECKIE";284117;
1600000;"OPOLSKIE";21652;
1800000;"PODKARPACKIE";45634;
2000000;"PODLASKIE";29621;
2200000;"POMORSKIE";95067;
2400000;"ŚLĄSKIE";121102;
2600000;"ŚWIĘTOKRZYSKIE";19233;
2800000;"WARMIŃSKO-MAZURSKIE";23301;
3000000;"WIELKOPOLSKIE";112880;
3200000;"ZACHODNIOPOMORSKIE";37211;
